"","studyID","Lat","Long","Exclude.AM.Est.Shannon","qPD.S","LC.author.coarse","Agr1","Urb1","Nat1","abundanceMethod","PC1","PC2","SC"
"1","Adgc01",-21.768592,-46.458282,7.34140901859787,1.1896433648016,"Agriculture",1,0,0,"Visitors (Targeted)",-2.37917851023804,0.918628129817395,0.858974358974359
"2","Adgc01",-21.745905,-46.475747,5.43498932328891,1.16817869353881,"Agriculture",1,0,0,"Visitors (Targeted)",-2.23568482015826,1.1079951376126,0.950657894736842
"3","Amad01",-24.162836,-65.308969,19.3459352285805,4.43457227868923,"Natural",0,0,1,"Visitors (All)",-2.25141661159114,-0.901821271541371,0.910894405776603
"4","Amad01",-24.30285833,-65.41526667,15.0519597012985,6.72933804679898,"Natural",0,0,1,"Visitors (All)",-2.12352742427361,-0.748460611764145,0.959092191467352
"5","Amad01",-24.15653056,-65.39445,13.5496753605129,4.71147402172495,"Natural",0,0,1,"Visitors (All)",-2.24469531026252,-0.935647423974071,0.911994367639529
"6","Amad01",-24.11274167,-65.44021667,13.1233965590909,3.88127197437498,"Natural",0,0,1,"Visitors (All)",-2.20814374352776,-0.981715267319385,0.921602850805425
"7","Amad01",-24.169882,-65.330537,25.9251666840822,6.06374074446124,"Natural",0,0,1,"Visitors (All)",-2.29371239836156,-0.915791053405805,0.958881044515996
"8","Amad01",-24.24706,-65.190457,17.3769893270977,5.04867134084659,"Natural",0,0,1,"Visitors (All)",-2.34876660070282,-0.796963469804525,0.937188945254365
"9","Amad01",-24.22403333,-65.23843056,19.2098655218031,5.29203487653979,"Natural",0,0,1,"Visitors (All)",-2.34097450960498,-0.821528554399225,0.955855657060476
"10","Amad01",-24.17454167,-65.39880278,19.5371763480439,4.73063832926149,"Natural",0,0,1,"Visitors (All)",-2.28749533051235,-0.904311420242536,0.879252293045397
"11","Amad01",-24.182793,-65.31387,9.55677050363095,2.66413250519394,"Urban",0,1,0,"Visitors (All)",-2.31173891808753,-0.902234436148902,0.987953151143335
"12","Amad01",-24.260749,-65.209338,5.32628016460386,2.0461923584973,"Urban",0,1,0,"Visitors (All)",-2.34055041615193,-0.695233802029414,0.9875390625
"13","Amad01",-24.257625,-65.20765278,16.715405056403,4.5282697060885,"Urban",0,1,0,"Visitors (All)",-2.34908751414976,-0.755411813304492,0.9625014833274
"14","Amad01",-24.16776944,-65.39159722,9.45977100634817,3.62423064277416,"Urban",0,1,0,"Visitors (All)",-2.26182895856869,-0.890162027103993,0.978022648881292
"15","Amad01",-24.11975833,-65.40188056,8.99442403070877,2.89045104843916,"Urban",0,1,0,"Visitors (All)",-2.23251204796877,-0.995245227406828,0.931634182908546
"16","Arm01",14.60962,-91.1298,22.9412803436638,4.95802223585122,"Natural",0,0,1,"Visitors (All)",-2.52667793971557,1.3415360478954,0.982506782642715
"17","Arm01",14.60894,-91.1336,7.17745799518372,2.55132273668746,"Agriculture",1,0,0,"Visitors (All)",-2.60888609917861,1.33365477827005,0.962578451882845
"18","Arm01",14.56137,-91.1264,16.7639832572723,3.4761948476609,"Natural",0,0,1,"Visitors (All)",-2.84992461982589,1.51669016227488,0.928412354512017
"19","Arm01",14.61506,-91.14004,19.3689302791617,4.80235495012616,"Natural",0,0,1,"Visitors (All)",-2.60888609917861,1.33365477827005,0.939397471009848
"20","Arm01",14.56043,-91.1293,14.9849058314819,3.01500153442367,"Natural",0,0,1,"Visitors (All)",-2.84992461982589,1.51669016227488,0.97427311495694
"21","Arm01",14.61084,-91.1418,16.8679672052641,4.90008315471887,"Natural",0,0,1,"Visitors (All)",-2.60888609917861,1.33365477827005,0.932670873162807
"22","Arm01",14.56079,-91.1266,8.99016766313075,3.16331531717391,"Agriculture",1,0,0,"Visitors (All)",-2.84992461982589,1.51669016227488,0.975885621116523
"23","Arm01",14.60986,-91.1423,15.349513516861,4.64752424795133,"Agriculture",1,0,0,"Visitors (All)",-2.54663371055046,1.39328426217226,0.980676441791885
"24","Arm01",14.61003,-91.1421,19.0549960212597,3.81292624613399,"Natural",0,0,1,"Visitors (All)",-2.54663371055046,1.39328426217226,0.974961247198444
"25","Avil01",19.8361317324624,-98.6140522693101,7.59822091631104,3.4021950515075,"Agriculture",1,0,0,"Abundance",-2.03048155123991,-0.56880451818722,0.967846330514668
"26","Avil01",19.9845126891413,-98.514598185501,5.19030717980904,2.78209426684671,"Agriculture",1,0,0,"Abundance",-1.90173432229088,-0.51933482703562,0.979764260517939
"27","Avil01",20.1891044208925,-98.9389642538289,7.37499778108632,3.47859980539229,"Agriculture",1,0,0,"Abundance",-2.15085633386748,-0.501841435734187,0.987366798304228
"28","Avil01",20.192998822385,-98.9380343048646,7.47049029419262,3.40581735106393,"Agriculture",1,0,0,"Abundance",-2.18968867663625,-0.500275958885439,0.988936743669359
"29","Avil01",20.0424455566804,-98.6055854946548,7.59819972298195,3.70837900633982,"Agriculture",1,0,0,"Abundance",-1.93110596738356,-0.618974473110082,0.983051154368493
"30","Avil01",19.9236522267725,-98.682865712692,7.11624987077239,3.40786588039869,"Agriculture",1,0,0,"Abundance",-2.06390422911424,-0.576525351336791,0.984839408662984
"31","Avil01",20.0056348702473,-98.7162860462891,6.58466803668323,3.27565273285383,"Agriculture",1,0,0,"Abundance",-2.1004059632722,-0.605292040559313,0.975345651512624
"32","Avil01",19.982031185732,-98.5158866112398,15.7802419221926,4.2966144906017,"Agriculture",1,0,0,"Abundance",-1.88295529389821,-0.534060897062099,0.894891868847376
"33","Avil01",19.9554543033479,-98.5394296988654,7.50720674475792,3.53595948178585,"Natural",0,0,1,"Abundance",-1.91434449098953,-0.582559475788972,0.954676434676435
"34","Avil01",20.1256360944192,-98.7988177633172,8.73683504361318,2.96843059308232,"Natural",0,0,1,"Abundance",-1.88588313079207,-0.492623359933341,0.977061074063974
"35","Avil01",20.0908671541781,-98.7159798559992,8.58779178644234,3.076007964457,"Natural",0,0,1,"Abundance",-1.98404730807868,-0.546369866455699,0.987730112872884
"36","Avil01",20.1225836997611,-98.7851502371685,5.87382127135516,2.58083707380494,"Natural",0,0,1,"Abundance",-1.96818438033507,-0.485250348264751,0.984848703899146
"37","Avil01",20.0907164424077,-98.7966528226263,6.8320254053088,3.20261679517617,"Natural",0,0,1,"Abundance",-2.0293587396314,-0.460747943858221,0.97006015024033
"38","Baldi01",46.9615546910067,19.1559621509041,2.57990117202403,2.3939575191845,"Natural",0,0,1,"Abundance",0.333986110040776,-0.116279054392937,0.918181818181818
"39","Baldi01",46.9539360784907,19.1643155631264,20.9461653735227,3.65977893006683,"Natural",0,0,1,"Abundance",0.333782834093586,-0.117570284587679,0.659903381642512
"40","Baldi01",46.7611627430666,19.181519352354,11.3265091063065,5.30134846430751,"Natural",0,0,1,"Abundance",0.333897235145608,-0.107919396633092,0.726495726495726
"41","Baldi01",46.9261261280183,19.3201588174118,22.5128926314032,6.43642793994299,"Natural",0,0,1,"Abundance",0.319640262301621,-0.154043189388894,0.579511933494234
"42","Baldi01",47.0710475665764,19.3386844757435,5.15571148190974,4.59892274148822,"Natural",0,0,1,"Abundance",0.330262374745699,-0.16275854857765,0.601449275362319
"43","Baldi01",47.5198858895999,20.3430915930227,9.77836449558937,4.10259691192708,"Natural",0,0,1,"Abundance",0.330811390257051,-0.19663831688637,0.800554016620499
"44","Baldi01",47.6546125503394,20.5831210157677,20.3001995802684,3.73780532436389,"Natural",0,0,1,"Abundance",0.315155498890095,-0.210001918498393,0.543233082706767
"45","Baldi01",47.6420777115548,20.6028969619015,7.53065395572954,2.73097783277664,"Natural",0,0,1,"Abundance",0.315168918805968,-0.211404040521549,0.86013986013986
"46","Baldi01",47.5657560402125,20.3973140298355,25.9255579478504,3.67006041908737,"Natural",0,0,1,"Abundance",0.332462282976843,-0.187639039448759,0.576058394160584
"47","Baldi01",47.5724896727576,20.3946011291,14.7650751693274,3.71325854262994,"Natural",0,0,1,"Abundance",0.331592512906159,-0.187214443449488,0.592334494773519
