"","Estimate","Cond. SE","t-value","p-value","adjusted_p"
"Nat-Agr",-0.17154495349802,0.0577364269647672,-2.97117370291555,0.00298940443621998,0.00616880736526881
"Nat-Urb",-0.217739313921656,0.0758268419163116,-2.87153346254311,0.00411253824351254,0.00616880736526881
"Agr-Urb",-0.0411873732433021,0.078055940760213,-0.52766481118752,0.597769715544656,0.597769715544656
"Nat-Agr1",-0.117132696683072,0.0375289854992048,-3.12112611425517,0.0018181709886802,0.0054545129660406
"Nat-Urb1",-0.123536551361074,0.0485876995080348,-2.54254785906554,0.0110529308895257,0.0165793963342886
"Agr-Urb1",0.0111091367130729,0.0439652783607925,0.252679776570683,0.800532407961645,0.800532407961645
