"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Global_LC_p","Agr_p","Urb_p","R2m","R2c","Time","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_mean_urb","log_ratio_mean_urb"
"12","Nomada",2.20045950603102,9.21427676708579,-0.833193738701035,0.120724345403747,-0.642903330962385,0.289174833852984,0.329276780817271,0.676328271289817,NA,NA,0.0266387811961476,0.840795614421007,5.45785998106003,1,NA,NA,1.1283138445984,0.0524299170402297,0.525763739834006,-0.279209369034184
"13","Hoplitis",1.06856754921928,4.87549291526503,-0.421521067040891,-0.998711678692629,-0.258603986550038,0.231502553146345,0.426184408184999,1.60296656910657e-05,5.13198808662629e-05,0.544085329799524,0.228565925957532,0.790616148518051,4.49882615009944,1,0.000513198808662629,0.906808882999207,0.368353693523156,-0.433734971068542,0.772128735871019,-0.112310284356864
"14","Eucera",3.87480559875583,21.7043244395793,-1.06377727230353,-0.231317536541145,-2.49276747111883,0.568330812535594,0.977398186553327,0.683999076615082,NA,NA,0.173230502402358,0.934747024836966,6.05042258501053,1,NA,NA,0.793487464762552,-0.100459929687273,0.0826808328439472,-1.08259515737483
"15","Dasypoda",0.848948374760994,5.11010323009565,-2.25713007795929,1.06184348825392,0.633899006377154,1.48253061775841,0.678659201043868,0.473844934284546,NA,NA,0.265414113253926,0.881284228978902,3.48343218564987,2,NA,NA,2.89169688789059,0.461152767593578,1.88494568540701,0.275298840553552
"16","Chelostoma",0.889957264957265,5.47641179983576,-2.11899942049453,-0.762927477155537,0.24504972874602,0.401688251940603,0.546885918704038,0.0575247222090559,NA,NA,0.0939261781677032,0.796818939491846,7.59732978343964,1,NA,NA,0.466299346253605,-0.331335193421019,1.27768484929045,0.106423744986285
"17","Triepeolus",0.305475504322767,1.38911413687201,-2.85918572836244,0.297343810118435,0.146390857147157,0.434165006911588,0.611232552857764,0.493429996601662,NA,NA,0.0264529188842698,0.695354988152976,1.09414585034053,1,NA,NA,1.34627808391603,0.129134775962525,1.15764857485511,0.0635767414600972
"18","Sphecodes",1.03312101910828,3.67898253549791,-1.07037194973199,0.100124497561837,-0.0660666041666189,0.249622481813581,0.30284872552431,0.688343787167161,NA,NA,0.0656864150453171,0.750522643979116,4.58307748238246,1,NA,NA,1.10530851772559,0.0434835167944413,0.936068516151902,-0.028692361627649
"19","Perdita",0.585185185185185,2.44964692905074,-2.77764691172285,-1.36414415434123,NA,0.696229809187177,NA,NA,0.0507806695833783,NA,0.180140354218898,0.959312585394709,5.82563321590424,1,0.0951199426380472,NA,0.255599335987216,-0.592440278750972,NA,NA
"20","Ashmeadiella",0.541825095057034,2.23674076149023,-3.44599054718565,-1.17449276881632,NA,0.835203849901508,NA,NA,0.160258645288166,NA,0.391839748260365,0.906968548485293,38.0111169815063,1,0.20903301559326,NA,0.308975662038357,-0.510075728532201,NA,NA
"21","Anthophora",1.20369104579631,5.65318331375347,-0.5394648224851,-1.07961704332274,-0.0363255332494315,0.25740600599637,0.253536439262794,2.73813900068594e-05,8.71225241469986e-05,0.886092595330476,0.183327385576066,0.865881280968955,4.59836610158284,1,0.00065341893110249,0.957611711286862,0.339725600924061,-0.46887172448377,0.964326322100688,-0.0157759786424212
"22","Xenoglossa",2.62261753494282,14.8815902034034,-0.571955558143723,0.648574108060444,-0.0877772770042087,0.478204233765618,0.612841860867352,0.175013242469304,NA,NA,0.129870651612992,0.681887095509528,1.02289456526438,1,NA,NA,1.91281142116868,0.281672156235974,0.915964860444307,-0.038121187039421
"23","Protandrena",2.82410423452769,18.3050139233544,-1.41262767058412,1.47033922641149,NA,0.410197676911575,NA,NA,0.000395097580177417,NA,0.404999432927147,0.606706020852035,9.90448999404907,1,0.00197548790088709,NA,4.35071076676383,0.638560212556407,NA,NA
"24","Partamona",10.2611464968153,23.6738377985703,1.61802728757306,-0.964933543016697,NA,0.496538941991434,NA,NA,0.0539013008282268,NA,0.463400325413361,0.688112966065515,5.95112895965576,1,0.0951199426380472,NA,0.381008519574812,-0.419065313135506,NA,NA
"25","Hylaeus",3.10436347278453,13.3518437538268,0.0542340950693178,-0.215174949179851,0.832025377663531,0.207884000364747,0.27767727357992,0.300635195258559,NA,NA,0.126444520590355,0.835483920564841,20.1255023797353,1,NA,NA,0.806400348756126,-0.0934492930726219,2.29796828376742,0.361344030322741
"26","Heriades",0.938099389712293,3.81768241244992,-1.44167690240408,-1.00325186375135,0.315468969519072,0.457010789202186,0.438183295729189,0.0281458374538557,0.0510280563529513,0.471705674981213,0.0724667804062384,0.865699292486888,3.90889328320821,1,0.0951199426380472,0.906808882999207,0.366685090337406,-0.435706748386364,1.37090207151283,0.137006432673838
