"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.007,0.006,1.02,0.308
"log10(Exclude.AM.Est.Shannon)",0.434,0.006,67.9,0
"(Intercept)",-0.118,0.01,-11.758,0
"log10(TBtotal)",0.893,0.076,11.712,0
"(Intercept)",-0.346,0.033,-10.547,0
"log10(TBturn)",0.972,0.068,14.3,0
"(Intercept)",0.003,0.005,0.603,0.547
"log10(TBrich)",0.912,0.01,90.375,0
